Name,Album,Artist,Spotify Link
O Manasa O Manasa,Bhadra,Devi Sri Prasad,https://open.spotify.com/track/5mSrzOOKgQKfUaVh63WFFK
Cheliya Cheliya,Manmadhudu,Devi Sri Prasad,https://open.spotify.com/track/3q7HtMwfN4rkEh98Or0Wsf
Kanule Kanele,David,Various Artists,https://open.spotify.com/track/2dniyJc4DqR2xlElHKNH6M
Yetu Pone,Dear Comrade,Justin Prabhakaran,https://open.spotify.com/track/5bf5PpAQmxCbXBcRQa5R3C
Manasu Gaathi Inthey,Prem Nagar,K. V. Mahadevan,https://open.spotify.com/track/5EogfWyrlvbAV1AJ9rIBoZ
Kaneeti Vaana,Chirutha,Mani Sharma,https://open.spotify.com/track/05YrHIT3ktUKWM0SMwUrkI
O Prema Na Prema(Female),Chanti-Old,Ilaiyaraaja,https://open.spotify.com/track/7wND2UOaEKRoMY4kg2NHM4
O Prema Na Prema(Male),Chanti-Old,Ilaiyaraaja,https://open.spotify.com/track/3VxHdPL8DFhCboxegX2WKa
Po Ve Po - The Pain of Love,3 (Original Motion Picture Soundtrack),Anirudh Ravichander,https://open.spotify.com/track/4ngIVcfL0Pm564bTpDIS8H
Po Pove Dhoorama,Swathimuthyam,Mahati Swara Sagar,https://open.spotify.com/track/6VWdrqhvfdYSXz3zO2cSW3
Pranam Pothunna,Love Today (Telugu) [Original Motion Picture Soundtrack],Yuvan Shankar Raja,https://open.spotify.com/track/2yyOgnukcQCppigRdL0IX1
Time Ivvu Pilla,18 Pages,Gopi Sundar,https://open.spotify.com/track/3MqMljifpexSTdhAczsBX7
Nee Valla O Pilla,18 Pages,Gopi Sundar,https://open.spotify.com/track/1TRfrlmhlTTnKoCpA6bCCo
Nuvvante Pranamani,Naa Autograph,M. M. Keeravani,https://open.spotify.com/track/4gvCUylCorhxfnigZBHYF2
You’Re My Love,No 1 Nenokkadine,Devi Sri Prasad,https://open.spotify.com/track/0EV7Iol5TYTzVufJTT6ZSX
