Name,Album,Artist,Spotify Link
Vilayaadu Mankatha,Mankatha (Original Motion Picture Soundtrack),Yuvan Shankar Raja,https://open.spotify.com/track/5HlKYvZ7iVQN3tcNSny6TN
Un Mela Aasadhaan,Aayirathil Oruvan (Original Motion Picture Soundtrack),G. V. Prakash,https://open.spotify.com/track/322xF47eamMLy7tFWtJHzF
Oh...Ho...Sanam,Dhasavathaaram-Tamil,Various Artists,https://open.spotify.com/track/5hYmazOzOj3U7bjdID55ku
The Life of Ram,96 (Original Motion Picture Soundtrack),Govind Vasantha,https://open.spotify.com/track/3hXX5v2JaVqDR3aeQcPAU9
Thodu Vaanam,Anegan (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/4HDzsx1dJKbuL0YkffBuBm
Theemai Dhaan Vellum - Awakening the Monster,Thani Oruvan (Original Motion Picture Soundtrack),Hiphop Tamizha,https://open.spotify.com/track/3F7IiHst8X2KXwu4oBkywY
"Shoot the Kuruvi - From ""Jil Jung Juk""","Shoot the Kuruvi (From ""Jil Jung Juk"")",Vishal Chandrashekhar,https://open.spotify.com/track/79Xx6GiPfwG3AjdtzGTSXt
"Udhungada Sangu (From ""Velai Illa Pattadhaari"")",Velai Illa Pattadhaari (Original Motion Picture Soundtrack),Anirudh Ravichander,https://open.spotify.com/track/4ClGSEMFkurgnJV1JULiyP
Voda Voda Voda,Mayakkam Enna,G. V. Prakash,https://open.spotify.com/track/15C4q7G41cgBApe7hinKc3
Aathi,Kaththi (Original Motion Picture Soundtrack),Anirudh Ravichander,https://open.spotify.com/track/6wKu6jqzVtxikYztRUWkoS
Pakkam Vanthu,Kaththi (Original Motion Picture Soundtrack),Anirudh Ravichander,https://open.spotify.com/track/65usiCnRUHhBgd1CIlwGf5
Oh Super Nova,Ayan,Harris Jayaraj,https://open.spotify.com/track/23jwsNJe8YZkQcb4nXKP1E
"Boomi Enna Suthudhe (From ""Ethir Neechal"")",Bromance: Anirudh Ravichander & Sivakarthikeyan,Anirudh Ravichander,https://open.spotify.com/track/3oWdVmZSm0mNlD8Cn5X4BK
"Ethir Neechal (From ""Ethir Neechal"")",Bromance: Anirudh Ravichander & Sivakarthikeyan,Anirudh Ravichander,https://open.spotify.com/track/3KrKkY581OwameSpuutY6H
"Kadhalikathey - From ""Imaikkaa Nodigal""","Kadhalikathey (From ""Imaikkaa Nodigal"")",Hiphop Tamizha,https://open.spotify.com/track/6ih9ThoCJLA9pObWGfHQF2
